Дата,Карьеры,Юридическое лицо,Наименование материала,Контакт,Цена,Ед.изм.,Насыпная плотность,Модуль крупности,Коэфициент фильтрации,Фракция,Марка прочности,Коэфициент морозостойкости,Геолокация,Транспорт,График
17.01.2025,Заболотье,,Карьерный песок,89261096666,"р.430,00",м3,,"1,4",,-,-,-,"55.440329, 37.677294",Одиночки,24 часа
17.01.2025,Заболотье,,Мытый песок,89261096666,"р.450,00",тн,,"1,5",,-,-,-,"55.440329, 37.677294",Одиночки + Тонары,24 часа
17.01.2025,Заболотье,,Мытый песок,89261096666,"р.450,00",тн,,"2,3",,-,-,-,"55.440329, 37.677294",Одиночки + Тонары,24 часа
17.01.2025,Бужарово,Рекультивация ,Карьерный песок,89296150000,"р.460,00",м3,,,,-,-,-,"55.945230, 36.938633",Одиночки,07-22
17.01.2025,Бужарово,Рекультивация ,Сеяный песок,89296150000,"р.520,00",м3,,,,-,-,-,"55.945230, 36.938633",Одиночки,08-19
,Пореченский,,Известняковый щебень,89056863719,"р.780,00",тн,-,-,-,5/20,М500,,"54.199168, 37.048160",Тонары,24 часа
17.04.2025,Есино,"ООО ""Рубин""",Намывной песок,84959683745,"р.700,00",м3,"1,55",2,3,-,-,-,"55.717407, 38.393011",Тонары + Одиночки,24 часа
,Дюкино,"ООО ""СтарСпецСтрой""",Известняковый щебень,89104908657,"р.800,00",тн,-,-,-,5/20,М400,,"56.015898, 41.072377",Тонары + Одиночки,
,Дюкино,"ООО ""СтарСпецСтрой""",Известняковый щебень,89104908657,"р.850,00",тн,-,-,-,20/40,М400,,"56.015898, 41.072377",Тонары + Одиночки,
,Дюкино,"ООО ""СтарСпецСтрой""",Известняковый щебень,89104908657,"р.750,00",тн,-,-,-,40/70,М400,,"56.015898, 41.072377",Тонары + Одиночки,
30.01.2025,Дачное,"ООО ""РУСАНД""",Мытый песок,89259271233,"р.350,00",м3,,,,-,-,-,"55.813630, 38.622320",Тонары + Одиночки,24х7
,Красково,,,,,,,,,,,,,,
27.11.2024,Ветчинские болота,"ООО ""КАРЬЕРОУПРАВЛЕНИЕ М-7""",Мытый песок,89056122604,"р.310,00",м3,"1,4",1.5,,-,-,-,"55.953494, 38.930251",Тонары + Одиночки,24 х 7
,Сопово,,Мытый песок,89032036596,"р.350,00",м3,"1,45","1,4","1,3",-,-,-,"55.998322, 38.738667",Тонары + Одиночки,07-16:30 х 5
14.04.2025,Путилово,,Песок Карьерный ,89269778881,"р.400,00",м3,1.5,1.9,1,,,,"56.110373, 38.098991",одиночки,8-20
05.02.2025,Лычево,"ООО ""Альянс-Фин-Строй""",Мытый,89269670000,"р.400,00",м3,,"1,6",2-3,,,,"56.180547, 38.128312",Тонары + Одиночки,
14.04.2025,Лычево,"ООО ""Альянс-Фин-Строй""",Карьерный песок,89269670000,"р.330,00",м3,1.45,1.6,,,,,"56.180547, 38.128312",,
05.02.2025,Магистральный,"ООО ""ТПК Магистральный""",Сеяный песок,89254422302,"р.340,00",м3,,"1,9",,,,,"56.482264, 38.418628",Тонары + Одиночки,
05.02.2025,Магистральный,"ООО ""ТПК Магистральный""",Карьерный песок,89254422302,"р.200,00",м3,,,,,,,"56.482264, 38.418628",Тонары + Одиночки,
20.02.2025,Искра,"ООО ""Недра-поиск""",Сеяный песок,89157672341,"р.230,00",м3,"1,55",2,1,-,-,-,"56.527239, 38.359675",Тонары + Одиночки,24 х 7
20.02.2025,Искра,"ООО ""Недра-поиск""",щебень  колотый ,89157672341,"р.2 400,00",м3,,,,20/40,,,"56.527239, 38.359675",Тонары + Одиночки,24 х 7
20.02.2025,Искра,"ООО ""Недра-поиск""",Щебень колотый ,89157672341,"р.2 400,00",м3,,,,40/70,,,"56.527239, 38.359675",Тонары + Одиночки,24 х 7
20.02.2025,ПГК Хорошего,"ООО ""ПГК"" Хорошего""",песок сеяный,84924428378,"р.600,00",,,"1,8-3,0",,,,,"56.582731, 38.531589",Тонары + Одиночки,24 х 7
20.02.2025,ПГК Хорошего,"ООО ""ПГК"" Хорошего""",песок сеяный,84924428378,"р.500,00",,,"1,8-2,5",,,,,"56.582731, 38.531589",Тонары + Одиночки,24 х 7
20.02.2025,ПГК Хорошего,"ООО ""ПГК"" Хорошего""",гравий сеяный ,84924428378,"р.2 000,00",,,,,5/20,,,"56.582731, 38.531589",Тонары + Одиночки,24 х 7
17.03.2025,МВК,"ООО ""МВК""",Сеяный песок,89299030412,"р.310,00",тн,"1,55","2,3",,-,-,-,"56.526987, 38.642074",Тонары + Одиночки,24 х 7
17.03.2025,МВК,"ООО ""МВК""",Мытый песок,89299030412,"р.400,00",тн,"1,63","2,3",,-,-,-,"56.526987, 38.642074",Тонары + Одиночки,24 х 7
17.03.2025,МВК,"ООО ""МВК""",Гравий,89299030412,"р.1 500,00",тн,"1,5",-,-,5/20,,,"56.526987, 38.642074",Тонары + Одиночки,24 х 7
17.03.2025,МВК,"ООО ""МВК""",Гравийный щебень,89299030412,"р.1 700,00",тн,"1,4",-,-,5/20,,,"56.526987, 38.642074",Тонары + Одиночки,24 х 7
17.03.2025,МВК,"ООО ""МВК""",Отсев дробления,89299030412,"р.250,00",тн,"1,4",-,-,-,-,-,"56.526987, 38.642074",Тонары + Одиночки,24 х 7
