Дата,Карьеры,Юридическое лицо,Наименование материала,Контакт,Цена,Ед.изм.,Насыпная плотность,Модуль крупности,Коэфициент фильтрации,Фракция,Марка прочности,Коэфициент морозостойкости,Геолокация,Транспорт,График
05.03.2025,Коллонтай ,,щебень известняковый ,89651206590,"р.1 050,00",тн,,,,20-40,,,"55.048621, 36.532094",Тонары + Одиночки,24x7
05.03.2025,Коллонтай ,,щебень известняковый ,89651206590,"р.1 050,00",тн,,,,40-70,,,"55.048621, 36.532095",Тонары + Одиночки,24x7
30.01.2025,Коллонтай ,,отсев,89651206590,"р.200,00",тн,,,,,,,"55.048621, 36.532096",Тонары + Одиночки,24x7
05.03.2025,селивановский ,,щебень известняковый ,84842598192,"р.1 380,00",м3,,,,5-20,,,"54.451009, 36.773339",Тонары + Одиночки,24х7
05.03.2025,селивановский ,,щебень известняковый ,84842598192,"р.1 260,00",м3,,,,20-40,,,"54.451009, 36.773340",Тонары + Одиночки,24х7
07.04.2025,Потресово,,песок карьерный ,84843928015,"р.280,00",м3,"1,52",1.89,,,,,"55.080556, 36.548283",Тонары + Одиночки,24х7
05.03.2025,андреевский ,,щебень известняковый ,89805133800,"р.1 200,00",тн,,,,5-20,,,"54.370155, 36.206703",Тонары + Одиночки,24х7
31.01.2025,Морево,"ООО ""Омега Сервис""",Песок мытый,,"р.550,00",тн,,"2,42","8,46",,,,"55.657396, 36.386741",,
04.02.2025,Вагоноремонтная ,,отсев гранитный ,89250994374,"р.2 250,00",тн,,,"1,6",,,,"55.902769, 37.534475",Тонары + Одиночки,
04.02.2025,Вагоноремонтная ,,гранитный щебень,89250994374,"р.2 750,00",тн,"1,4",,,5-20,,,"55.902769, 37.534475",Тонары + Одиночки,
04.02.2025,Вагоноремонтная ,,гранитный щебень,89250994374,"р.2 600,00",тн,,,,20-40,,,"55.902769, 37.534475",Тонары + Одиночки,
04.02.2025,Вагоноремонтная ,,гранитный щебень,89250994374,"р.2 600,00",тн,,,,40-70,,,"55.902769, 37.534475",Тонары + Одиночки,
04.02.2025,Вагоноремонтная ,,Известняковый щебень,89250994374,"р.1 900,00",тн,"1,3",,,5-20,,,"55.902769, 37.534475",Тонары + Одиночки,
20.02.2025,Вагоноремонтная ,,Известняковый щебень,89250994374,"р.1 880,00",тн,"1,3",,,20-40,,,"55.902769, 37.534475",Тонары + Одиночки,
20.02.2025,Вагоноремонтная ,,Известняковый щебень,89250994374,"р.1 850,00",тн,"1,3",,,40-70,,,"55.902769, 37.534475",Тонары + Одиночки,
04.02.2025,Вагоноремонтная ,,гранитный щебень,89250994374,"р.3 150,00",тн,,,,10-20,,,"55.902769, 37.534475",Тонары + Одиночки,
04.02.2025,Вагоноремонтная ,,отсев гравийный ,89250994374,"р.950,00",тн,,,,0-5,,,"55.902769, 37.534475",Тонары + Одиночки,
04.02.2025,Вагоноремонтная ,,Гравийный щебень,89250994374,"р.2 100,00",тн,,,,5-20,,,"55.902769, 37.534475",Тонары + Одиночки,
04.02.2025,Вагоноремонтная ,,Гравийный щебень,89250994374,"р.2 100,00",тн,,,,20-40,,,"55.902769, 37.534475",Тонары + Одиночки,
04.02.2025,Вагоноремонтная ,,Гравийный щебень,89250994374,"р.2 100,00",тн,,,,40-70,,,"55.902769, 37.534475",Тонары + Одиночки,
04.02.2025,Вагоноремонтная ,,ЩПС на гравии С4,89250994374,"р.1 700,00",тн,,,,20-40,,,"55.902769, 37.534475",Тонары + Одиночки,
04.02.2025,Вагоноремонтная ,,ЩПС на гравии С5,89250994374,"р.1 700,00",тн,,,,20-40,,,"55.902769, 37.534475",Тонары + Одиночки,
04.02.2025,Вагоноремонтная ,,ЩПС на граните С4,89250994374,"р.2 400,00",тн,,,,,,,"55.902769, 37.534475",Тонары + Одиночки,
04.02.2025,Вагоноремонтная ,,ЩПС на граните С5,89250994374,"р.2 400,00",тн,,,"1,5",,,,"55.902769, 37.534475",Тонары + Одиночки,
04.02.2025,Вагоноремонтная ,,сеяный песок ,89250994374,"р.780,00",тн,,,,,,,"55.902769, 37.534475",Тонары + Одиночки,
13.02.2025,Товарково,Терекс групп,щебень известняковый ,89263652515,"р.1 000,00",тн,"1,27",,,5-20,М600,,"54.693248, 35.982889",Тонары + Одиночки,08-19 х 7
13.02.2025,Товарково,Терекс групп,щебень известняковый ,89263652515,"р.1 000,00",тн,"1,28",,,20-40,М600,,"54.693248, 35.982889",Тонары + Одиночки,08-19 х 7
13.02.2025,Товарково,Терекс групп,щебень известняковый ,89263652515,"р.1 000,00",тн,"1,3",,,40-70,М600,,"54.693248, 35.982889",Тонары + Одиночки,08-19 х 7
13.02.2025,Товарково,Терекс групп,ЩПС С4/С5,89263652515,"р.1 000,00",тн,,,,,,,"54.693248, 35.982889",Тонары + Одиночки,08-19 х 7
13.02.2025,Товарково,Терекс групп,бутовый камень,89263652515,"р.1 100,00",тн,,,,,,,"54.693248, 35.982889",Тонары + Одиночки,08-19 х 7
05.03.2025,Пореченский,Терекс групп,щебень известняковый ,89263652515,"р.780,00",тн,,,,5-20,М400/600,,"54.693248, 35.982889",Тонары + Одиночки,24х7
05.03.2025,Пореченский,Терекс групп,щебень известняковый ,89263652515,"р.720,00",тн,,,,20-40,М600,,"54.693248, 35.982889",Тонары + Одиночки,24х7
05.03.2025,Пореченский,Терекс групп,щебень известняковый ,89263652515,"р.780,00",тн,,,,40-70,М600,,"54.693248, 35.982889",Тонары + Одиночки,24х7
20.02.2025,ПГК Хорошего,"ООО ""ПГК"" Хорошего""",щебень гравийный ,84924428378,"р.2 500,00",м3,,,,5/20,,,"56.582731, 38.531589",Тонары + Одиночки,24 х 7
20.02.2025,ПГК Хорошего,"ООО ""ПГК"" Хорошего""",щебень гравийный ,84924428378,"р.2 300,00",м3,,,,20/40,,,"56.582731, 38.531589",Тонары + Одиночки,24 х 7
20.02.2025,Карьер Ульянки,,песок формовочный ,89251959970,"р.700,00",м3,,1.6-2,,,,,"56.257373, 37.620314",,
20.02.2025,Карьер Ульянки,,песок формовочный ,89251959970,"р.700,00",м3,,2.4-2.8,,,,,"56.257373, 37.620314",,
20.02.2025,Искра,"ООО ""Недра-поиск""",Гравий ,89157672341,"р.2 200,00",м3,,,,20/40,,,"56.527239, 38.359675",Тонары + Одиночки,24 х 7
20.02.2025,Глазово,,Песок Сеяный ,89201770058,"р.295,00",тн,"1,6","1,55",,,,,"56.123795, 36.995529",Одиночки,
20.02.2025,Перевалка Дорожная ,Сатори,отсев,84994445294,"р.250,00",м3,,,,,,,,Тонары + Одиночки,8-21
20.02.2025,Перевалка Дорожная ,Сатори,Щебень Вторичный ,84994445294,"р.1 600,00",м3,,,,20/40,М400,,"55.615796, 37.630353",Тонары + Одиночки,8-21
20.02.2025,Перевалка Дорожная ,Сатори,Щебень Вторичный ,84994445294,"р.1 700,00",м3,,,,40/70,М400,,"55.615796, 37.630353",Тонары + Одиночки,8-21
20.02.2025,Перевалка Дорожная ,Сатори,Щебень Вторичный ,84994445294,"р.1 700,00",м3,,,,70/120,М400,,"55.615796, 37.630353",Тонары + Одиночки,8-21
25.02.2025,Порт Беседы ,,Речной песок ,84957294447,"р.1 250,00",м3,"1,5","2-2,5",,,,,"55.615305, 37.794304",Тонары + Одиночки,24х7
25.02.2025,Порт Дубна ,,Речной песок ,89637885218,"р.680,00",м3,1.4,1.6,,,,,"56.749390, 37.233170",Тонары + Одиночки,8-17
28.02.2025,Маломахово (Совьяки),"ООО ""Карьер Инвест""",ЩПС С4,89100943715,"р.1 300,00",тн,"1,65",,,-,M800,-,"55.225687, 36.402993",Тонары + Одиночки,24 х 7
04.03.2025,УГЛЫНЬ,,Карьерный песок,89296150000,"р.440,00",м3,,,,,,,"55.816512,36.368927",Одиночки,с 8:00 до 19:00
04.03.2025,УГЛЫНЬ,,сеяный песок ,89296150000,"р.500,00",м3,,,,,,,"55.816512,36.368928",Одиночки,с 8:00 до 19:00
05.03.2025,Исма ,,ПГС,89672477981,"р.2 200,00",м3,,,,,,,"55.934737, 37.741770",тонары + Одиночки,24х7
05.03.2025,андреевский ,,щебень известняковый ,89805133800,"р.1 000,00",тн,,,,20-40,,,"54.370155, 36.206703",Тонары + Одиночки,24х7
05.03.2025,андреевский ,,щебень известняковый ,89805133800,"р.1 000,00",тн,,,,40-70,,,"54.370155, 36.206703",Тонары + Одиночки,24х7
13.03.2025,Эко-Щебень,,Вторичный щебень,84956658313,"р.1 650,00",м3,,,,5-20,М400,,"55.715951, 37.830994",тонары + Одиночки,24х7
13.03.2025,Эко-Щебень,,Вторичный щебень,84956658313,"р.1 600,00",м3,,,,20-40,М400,,"55.715951, 37.830994",тонары + Одиночки,24х7
13.03.2025,Эко-Щебень,,Вторичный щебень,84956658313,"р.1 550,00",м3,,,,40-70,М400,,"55.715951, 37.830994",тонары + Одиночки,24х7
13.03.2025,г.Долгопрудный,,Вторичный щебень,84992900807,"р.1 600,00",м3,,,,20-40,М400,,"55.925879, 37.497171",тонары + Одиночки,8-21
13.03.2025,г.Долгопрудный,,Вторичный щебень,84992900807,"р.1 700,00",м3,,,,40-70,М400,,"55.925879, 37.497171",тонары + Одиночки,8-21
13.03.2025,г.Долгопрудный,,Отсев,84992900807,"р.250,00",м3,,,,,,,"55.925879, 37.497171",тонары + Одиночки,8-21
13.03.2025,ПлатонСтрой,,Вторичный щебень,89852221722,"р.1 500,00",м3,,,,5-20,М400,,"55.563217, 37.768093",тонары + Одиночки,8-20
13.03.2025,ПлатонСтрой,,Вторичный щебень,89852221722,"р.1 500,00",м3,,,,20-40,М400,,"55.563217, 37.768093",тонары + Одиночки,8-20
13.03.2025,ПлатонСтрой,,Вторичный щебень,89852221722,"р.1 500,00",м3,,,,40-70,М400,,"55.563217, 37.768093",тонары + Одиночки,8-20
17.03.2025,ТрансИнвест,,Вторичный щебень,,"р.1 500,00",м3,"1,29",,,5-20,,,"55.701534, 37.439229",тонары + Одиночки,7:30-18:30
