дата,от куда,,вид транспорта,,погрузка,выгрузка,,расстояние,время на рейс под нагрузкой,кол-во рейсов факт,вес,ед измерения,кол-во рейсов расчетный,расход топлива на 100км,цена за литр,затраты на топливо,зп водителя на км,затраты на зп,затраты на зп день,норма прибыли,"други затраты на смену (платон, гаи, платная трасса)",тариф руб/куб(тн)*км расчет,тариф руб/куб(тн) расчет,проверка,тариф руб/куб(тн)*км факт,тариф руб/куб(тн) факт,прибыль факт,стоимость материала закуп,наценка,цена материала продажа,стоимость материала,стоимость машины с материалом расчет,стоимость машины с материалом факт,тариф с материалом расчет,тариф с материалом факт,доовор,фидель,наем,кп,кп,прибыль наем,,,,,,,,,,,,,,,,,,,,,,,
,Кашино,Турыгино,одиночки,песок,08-20,,Византия,50,,4,26,м3,6,60,58,3480,30,1500,6000,25000,2300,"9,1","454,0384615",25000,8,400,19380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Есино,Горки Парк,тонары,песок,24,,Византия,95,,4,32,м3,"3,157894737",50,58,5510,25,2375,9500,30000,3280,"5,3","506,40625",30000,"4,947368421",470,25340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Балашиха, Звездная 11",Буньково,одиночки,щебень ,08-20 погрузка,,Византия,50,,1,35,м3,6,55,58,3190,26,1300,1300,30000,1300,"20,5","1022,571429",30000,8,400,8210,,,,,,,,,,,380,,,,,,,,,,,,,,,,,,,,,,,,,,
,Мартемьяново,Косыгина,одиночки,щебень,08-20 погрузка,,Византия,170,,2,35,м3,"1,764705882",60,58,11832,22,3740,7480,30000,8640,"5,9","996,9142857",30000,"5,882352941",1000,30216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Есино,Электроугли,тонары,песок,24,,Византия,18,,6,43,тн,"16,66666667",50,58,1044,56,1008,6048,30000,1648,"9,5","170,3875969",30000,10,180,32480,213,20,"233,0","10019,0","17345,7","17759,0","403,4",413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.05,Осеево,Электросталь,тонары,песок,24,,Бонолит,34,,5,45,тн,"8,823529412",45,58,"1774,8",44,1496,7480,30000,2020,"6,3","214,9955556",30000,"7,647058824",260,40126,"266,6666667",0,"266,7","12000,0","21674,8","23700,0","481,7","526,6666667",570,,,570,,,,,,,,,,,,,,,,,,,,,,,,,
,Техноресурс,Некрасовка,тонары,песок,24,,ГК Гарант,132,,2,30,тн,"2,272727273",45,58,"6890,4",22,2904,5808,30000,2584,"6,6","869,5466667",30000,"5,303030303",700,"19827,2",300,0,"300,0","9000,0","35086,4","30000,0","1169,5",1000,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Есино,Некрасовка,тонары,песок,24,,ГК Гарант,45,,4,26,тн,"6,666666667",50,58,2610,35,1575,6300,30000,2080,"10,4","469,4230769",30000,10,450,27980,340,210,"550,0","14300,0","26505,0","26000,0","1019,4",1000,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Никольское,Турыгино,тонары,щебень,погр 08-20,,Византия,285,,1,34,тн,"1,052631579",45,58,14877,26,7410,7410,30000,5910,"6,0","1711,676471",30000,"5,263157895",1500,22803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Внуково,Лужки,тонары,щебень,24,,Византия,100,,3,35,тн,3,55,58,6380,25,2500,7500,30000,5000,"5,9","587,047619",30000,"6,5",650,36610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Порт,Акантьево,одиночки,песок,08-17,,физ лицо,50,,2,35,тн,6,55,58,3190,25,1250,2500,30000,3800,"12,2","609,7142857",30000,3,150,-2180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Аленино,Селевкино,тонары,песок,погр 08-17,,ДЗГИ,95,,3,45,тн,"3,157894737",45,58,4959,25,2375,7125,30000,2710,"4,3","405,2740741",30000,4,380,26588,180,0,"180,0","8100,0","26337,3","25200,0","585,3",560,,,,600,,,,,,,,,,,,,,,,,,,,,,,,,
,Осеево,Селевкино,тонары,песок,24,,ДЗГИ,77,,4,45,тн,"3,896103896",45,58,"4019,4",25,1925,7700,30000,2848,"4,1","314,5866667",30000,"3,896103896",300,"27374,4","266,6666667",0,"266,7","12000,0","26156,4","25500,0","581,3","566,6666667",,,300,600,,,,,,,,,,,,,,,,,,,,,,,,,
,Буяни,Селевкино,тонары,песок,погр 07-16,,ДЗГИ,105,,3,45,тн,"2,857142857",45,58,5481,25,2625,7875,30000,2890,"4,0","423,762963",30000,"4,285714286",450,33542,195,0,"195,0","8775,0","27844,3","29025,0","618,8",645,,,,650,,,,,,,,,,,,,,,,,,,,,,,,,
,Аленино,Электросталь,тонары,песок,погр 08-17,,Бонолит,68,,4,45,тн,"4,411764706",45,58,"3549,6",25,1700,6800,30000,2632,"4,4","297,9466667",30000,"4,117647059",280,"26769,6",180,0,"180,0","8100,0","21507,6","20700,0","477,9",460,535,,280,535,,,,,,,,,,,,,,,,,,,,,,,,,
,Буяни,Электросталь,тонары,песок,погр 07-16,,Бонолит,72,,4,45,тн,"4,166666667",45,58,"3758,4",25,1800,7200,30000,2728,"4,2","305,3422222",30000,"4,861111111",350,"38038,4",195,0,"195,0","8775,0","22515,4","24525,0","500,3",545,,,,545,,,,,,,,,,,,,,,,,,,,,,,,,
,Сельниково,Акантьево,одиночки,песок,08-19,,физ лицо,65,,2,32,тн,"4,615384615",55,58,4147,24,1560,3120,20000,1280,"7,9","510,84375",20000,"5,076923077",330,8426,300,0,"300,0","9600,0","25947,0","20160,0","810,8",630,630,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Козловский,Селевкино,тонары,песок,24,,ДЗГИ,71,,4,45,тн,"4,225352113",45,58,"3706,2",25,1775,7100,30000,2704,"4,3","303,4933333",30000,"4,436619718",315,"32071,2","286,6666667",0,"286,7","12900,0","26557,2","27075,0","590,2","601,6666667",,,,600,,,,,,,,,,,,,,,,,,,,,,,,,
17.05,Осеево,Старая Купавна,одиночка,песок,24,,Бонолит,23,,7,35,тн,"13,04347826",60,58,"1600,8",45,1035,7245,30000,1966,"8,9","205,7820408",30000,10,230,"35933,4","266,6666667",0,"266,7","9333,3","16535,7","17383,3","472,4","496,6666667",500,,200,500,,"8166,666667",-10,,,,,,,,,,,,,,,,,,,,,,
01.06,Осеево,Старая Купавна,одиночка,песок,24,,Бонолит,23,,7,35,тн,"13,04347826",60,58,"1600,8",44,1012,7084,30000,1966,"8,9","205,124898",30000,10,230,"36094,4",300,0,"300,0","10500,0","17679,4","18550,0","505,1",530,,,200,500,,-122500,-10,,,,,,,,,,,,,,,,,,,,,,
01.06,Осеево,Электросталь,тонары,песок,24,,Бонолит,34,,5,45,тн,"8,823529412",45,58,"1774,8",44,1496,7480,30000,2020,"6,3","214,9955556",30000,"7,647058824",260,40126,300,0,"300,0","13500,0","23174,8","25200,0","515,0",560,570,,,570,,,,,,,,,,,,,,,,,,,,,,,,,
22.05,Жуково,Электросталь,тонары,песок,24,,Бонолит,78,,4,45,тн,"3,846153846",45,58,"4071,6",27,2106,8424,40000,2872,"4,8","375,4577778",40000,"3,974358974",310,"28217,6",280,0,"280,0","12600,0","29495,6","26550,0","655,5",590,650,,310,650,,,,,,,,,,,,,,,,,,,,,,,,,
,Войбокальское,Тосно,тонары,песок,08-15,,Лаб Индастриз,86,,2,45,тн,"3,488372093",45,58,"4489,2",25,2150,4300,30000,2032,"5,9","503,4488889",30000,"4,476744186",385,"19339,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,МВК,Королев,тонары,песок,24,,МВК,103,,3,45,тн,"2,912621359",45,58,"5376,6",25,2575,7725,30000,2854,"4,1","420,0651852",30000,"3,59223301",370,"23241,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Покров,Щелково,одиночки,"грунт насып 1,2",24,,Византия,91,,3,35,м3,"3,296703297",60,58,"6333,6",25,2275,6825,30000,2638,"6,1","556,7980952",30000,"6,043956044",550,"29286,2",,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,
,Лоза,Лухмановская,тонары,песок,24,,Неруд СП,82,,3,32,м3,"3,658536585",45,58,"4280,4",25,2050,6150,30000,2476,"6,5","536,1166667",30000,"5,487804878",450,"21732,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5,06",Ферзиково,Щурово,тонары,Клинкер,24,,Верона,240,,"1,5",47,тн,"1,25",50,58,13920,21,5040,7560,30000,3160,"3,6","873,7588652",30000,"3,541666667",850,28325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Аленино,Егорьевск,тонары,"грунт насып 1,2",погр 08-17,,Аленино,99,,2,32,м3,"3,03030303",45,58,"5167,8",25,2475,4950,30000,2188,"7,5","741,775",30000,"6,060606061",600,"20926,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Шумское,Маринкино,одиночки,песок,08-20,,Византия,75,,3,30,м3,4,45,58,3915,25,1875,5625,20000,1850,"5,8","435,7777778",20000,"6,36",477,23710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Чаплыгино,ЦКАД,одиночки,песок,24,,Санд,50,,4,20,м3,6,60,58,3480,26,1300,5200,20000,1700,"10,2","510,25",20000,8,400,11180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ВРР,Южнопортовая 21,тонары,гравий 5/20,24,,Эркон ,140,,4,20,м3,"2,142857143",60,58,9744,26,3640,14560,20000,3860,"6,9","967,45",20000,"2,857142857",400,-25396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
